"Predictor","Predictor_Value","PDP_Value"
"Mean_SWF",0,1
"Mean_SWF",0.159292929292929,0.804845162509768
"Mean_SWF",0.318585858585859,0.284637689109836
"Mean_SWF",0.477878787878788,0.124171587955727
"Mean_SWF",0.637171717171717,0.127585413417186
"Mean_SWF",0.796464646464646,0.0814938967041944
"Mean_SWF",0.955757575757576,0.071248854017078
"Mean_SWF",1.11505050505051,0.0685255570827902
"Mean_SWF",1.27434343434343,0.046913285087221
"Mean_SWF",1.43363636363636,0.0348476696955574
"Mean_SWF",1.59292929292929,0.0279072037101192
"Mean_SWF",1.75222222222222,0.026391754664885
"Mean_SWF",1.91151515151515,0.0301841238946317
"Mean_SWF",2.07080808080808,0.0312772005788318
"Mean_SWF",2.23010101010101,0.0302873173250551
"Mean_SWF",2.38939393939394,0.029404519553637
"Mean_SWF",2.54868686868687,0.0291273895812063
"Mean_SWF",2.7079797979798,0.0298820148010316
"Mean_SWF",2.86727272727273,0.0323676182948099
"Mean_SWF",3.02656565656566,0.0330573337065605
"Mean_SWF",3.18585858585859,0.0342770685368645
"Mean_SWF",3.34515151515152,0.0357053782120792
"Mean_SWF",3.50444444444444,0.0265495472900137
"Mean_SWF",3.66373737373737,0.0198694136358945
"Mean_SWF",3.8230303030303,0.0182439461635165
"Mean_SWF",3.98232323232323,0.0159855246831254
"Mean_SWF",4.14161616161616,0.0130470951395287
"Mean_SWF",4.30090909090909,0.0127600164948197
"Mean_SWF",4.46020202020202,0.0105510164105074
"Mean_SWF",4.61949494949495,0.00635265135737201
"Mean_SWF",4.77878787878788,0.00508995878758972
"Mean_SWF",4.93808080808081,0.000625190225904334
"Mean_SWF",5.09737373737374,0.00530130636253659
"Mean_SWF",5.25666666666667,0.010625120692975
"Mean_SWF",5.4159595959596,0.0124773403945671
"Mean_SWF",5.57525252525252,0.0142907189051284
"Mean_SWF",5.73454545454545,0.0141206229985444
"Mean_SWF",5.89383838383838,0.0144471956459233
"Mean_SWF",6.05313131313131,0.0112387045871409
"Mean_SWF",6.21242424242424,0.0143465022376987
"Mean_SWF",6.37171717171717,0.0128996144409996
"Mean_SWF",6.5310101010101,0.00983350654529343
"Mean_SWF",6.69030303030303,0.00695355255628514
"Mean_SWF",6.84959595959596,0.00626477101085536
"Mean_SWF",7.00888888888889,0.00321034000548257
"Mean_SWF",7.16818181818182,0.00222452170557569
"Mean_SWF",7.32747474747475,0
"Mean_SWF",7.48676767676768,0.000229011061226455
"Mean_SWF",7.64606060606061,0.00120640898347697
"Mean_SWF",7.80535353535354,0.00241605413561505
"Mean_SWF",7.96464646464646,0.00535891121966283
"Mean_SWF",8.12393939393939,0.00486128845535348
"Mean_SWF",8.28323232323232,0.00680892794486509
"Mean_SWF",8.44252525252525,0.00643174321961682
"Mean_SWF",8.60181818181818,0.00434022448005718
"Mean_SWF",8.76111111111111,0.00269167097127292
"Mean_SWF",8.92040404040404,0.0033907800908402
"Mean_SWF",9.07969696969697,0.00259279410175804
"Mean_SWF",9.2389898989899,0.00328524333616243
"Mean_SWF",9.39828282828283,0.00324487160242596
"Mean_SWF",9.55757575757576,0.00301844685855914
"Mean_SWF",9.71686868686869,0.00407767371541406
"Mean_SWF",9.87616161616162,0.00411269670731464
"Mean_SWF",10.0354545454545,0.00481238476345661
"Mean_SWF",10.1947474747475,0.00585999734238436
"Mean_SWF",10.3540404040404,0.00574456709358409
"Mean_SWF",10.5133333333333,0.0089724225903683
"Mean_SWF",10.6726262626263,0.00946135166821264
"Mean_SWF",10.8319191919192,0.0127682852048869
"Mean_SWF",10.9912121212121,0.0153412900925758
"Mean_SWF",11.150505050505,0.0179599201238373
"Mean_SWF",11.309797979798,0.0211741342633837
"Mean_SWF",11.4690909090909,0.0211741342633837
"Mean_SWF",11.6283838383838,0.0219782905678449
"Mean_SWF",11.7876767676768,0.0218539681114196
"Mean_SWF",11.9469696969697,0.0218307123560059
"Mean_SWF",12.1062626262626,0.0226779405846699
"Mean_SWF",12.2655555555556,0.0231705621916721
"Mean_SWF",12.4248484848485,0.0274088987755608
"Mean_SWF",12.5841414141414,0.027748424533437
"Mean_SWF",12.7434343434343,0.027748424533437
"Mean_SWF",12.9027272727273,0.0277644128430262
"Mean_SWF",13.0620202020202,0.0279661514285537
"Mean_SWF",13.2213131313131,0.0279602731188966
"Mean_SWF",13.3806060606061,0.0279602731188966
"Mean_SWF",13.539898989899,0.0279602731188966
"Mean_SWF",13.6991919191919,0.0279602731188966
"Mean_SWF",13.8584848484848,0.0279602731188966
"Mean_SWF",14.0177777777778,0.0279602731188966
"Mean_SWF",14.1770707070707,0.0279602731188966
"Mean_SWF",14.3363636363636,0.0279602731188966
"Mean_SWF",14.4956565656566,0.0279602731188966
"Mean_SWF",14.6549494949495,0.0279515162858325
"Mean_SWF",14.8142424242424,0.0279515162858325
"Mean_SWF",14.9735353535354,0.0279515162858325
"Mean_SWF",15.1328282828283,0.0279515162858325
"Mean_SWF",15.2921212121212,0.0279515162858325
"Mean_SWF",15.4514141414141,0.0279515162858325
"Mean_SWF",15.6107070707071,0.0279515162858325
"Mean_SWF",15.77,0.0279515162858325
"Mean_SHDI",0.56,1
"Mean_SHDI",0.572323232323232,1
"Mean_SHDI",0.584646464646465,1
"Mean_SHDI",0.596969696969697,1
"Mean_SHDI",0.609292929292929,1
"Mean_SHDI",0.621616161616162,0.98854414971167
"Mean_SHDI",0.633939393939394,0.978914914877377
"Mean_SHDI",0.646262626262626,0.978914914877377
"Mean_SHDI",0.658585858585859,0.978914914877377
"Mean_SHDI",0.670909090909091,0.978914914877377
"Mean_SHDI",0.683232323232323,0.978914914877377
"Mean_SHDI",0.695555555555556,0.974294950175394
"Mean_SHDI",0.707878787878788,0.974294950175394
"Mean_SHDI",0.72020202020202,0.974294950175394
"Mean_SHDI",0.732525252525253,0.974604701712208
"Mean_SHDI",0.744848484848485,0.974667335604515
"Mean_SHDI",0.757171717171717,0.979888919607921
"Mean_SHDI",0.76949494949495,0.979888919607921
"Mean_SHDI",0.781818181818182,0.979888919607921
"Mean_SHDI",0.794141414141414,0.979714450025622
